total_crashes,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,pedestrian_injured,pedestrian_killed,persons_injured,persons_killed,year_month,council
283,1,0,48,0,19,1,68,1,2017-03,11
258,0,0,58,0,16,0,74,0,2017-03,12
285,2,0,52,0,11,0,65,0,2017-03,13
249,1,0,61,0,22,0,84,0,2017-03,14
358,4,0,61,0,16,1,81,1,2017-03,15
232,2,0,39,0,17,0,58,0,2017-03,16
385,4,0,68,0,25,0,97,0,2017-03,17
263,0,0,42,0,11,1,53,1,2017-03,18
376,1,0,63,0,12,0,76,0,2017-03,19
381,4,0,52,0,21,0,77,0,2017-03,20
255,3,0,55,0,13,1,71,1,2017-03,21
310,5,0,40,0,15,0,60,0,2017-03,22
346,0,0,72,0,8,0,80,0,2017-03,23
381,0,0,89,0,16,0,105,0,2017-03,24
199,4,0,27,0,12,0,43,0,2017-03,25
469,13,0,71,0,16,0,100,0,2017-03,26
351,1,0,86,0,17,0,104,0,2017-03,27
363,0,0,75,0,19,0,94,0,2017-03,28
339,1,0,58,0,17,0,76,0,2017-03,29
345,2,0,42,0,19,0,63,0,2017-03,30
387,1,0,100,0,9,0,110,0,2017-03,31
287,0,0,55,0,13,0,68,0,2017-03,32
539,6,0,75,0,18,1,99,1,2017-03,33
329,8,0,39,0,22,0,69,0,2017-03,34
286,7,0,45,0,17,0,69,0,2017-03,35
268,7,0,66,0,16,0,89,0,2017-03,36
335,4,0,64,0,28,0,96,0,2017-03,37
379,4,0,48,0,19,0,71,0,2017-03,38
343,6,0,37,0,19,0,62,0,2017-03,39
222,4,0,55,0,16,0,75,0,2017-03,40
250,1,0,45,0,25,1,71,1,2017-03,41
385,2,0,124,0,25,0,151,0,2017-03,42
277,2,0,39,0,14,0,55,0,2017-03,43
268,4,0,31,0,24,0,59,0,2017-03,44
242,7,0,55,0,13,0,75,0,2017-03,45
288,1,0,51,0,6,1,58,1,2017-03,46
219,4,0,32,0,19,0,55,0,2017-03,47
296,5,0,41,0,23,0,69,0,2017-03,48
297,2,0,56,0,9,0,67,0,2017-03,49
361,0,0,56,0,6,0,62,0,2017-03,50
258,0,0,49,0,6,0,55,0,2017-03,51
475,11,0,34,0,23,0,68,0,2017-04,1
